Time,Lat,Lon,Depth,Mag,place
2013-09-24T18:57:59.000Z,59.8905,-151.2392,56.4,2.5,"17km N of Fritz Creek, Alaska"
2013-09-24T18:09:53.700Z,32.0487,-115.0075,28,3.2,"16km S of Estacion Coahuila, Mexico"
2013-09-24T17:20:15.890Z,27.1934,65.4867,23.59,5.5,"85km NNE of Awaran, Pakistan"
2013-09-24T17:08:26.000Z,56.5075,-156.9126,6.3,2.9,"110km NW of Chirikof Island, Alaska"
2013-09-24T17:08:09.330Z,-29.8605,-71.3643,50.47,4.3,"10km N of Coquimbo, Chile"
2013-09-24T17:02:12.000Z,63.2946,-145.8786,6.8,2.1,"72km SSW of Deltana, Alaska"
2013-09-24T16:03:10.000Z,64.3172,-149.9609,3,2.2,"50km SW of North Nenana, Alaska"
2013-09-24T16:01:13.022Z,39.4226,-119.8661,10.1109,2.22,"11km SSE of Mogul, Nevada"
2013-09-24T15:39:46.510Z,33.688,-87.3252,1.16,2.8,"15km WSW of Cordova, Alabama"
2013-09-24T15:39:30.370Z,67.5566,142.833,14.98,5,"128km SW of Druzhina, Russia"
2013-09-24T15:15:06.100Z,47.8083,-120.7367,9.9,3,"24km NNW of Leavenworth, Washington"
2013-09-24T15:12:24.320Z,27.1441,65.5056,27.76,4.9,"81km NNE of Awaran, Pakistan"
2013-09-24T14:49:12.000Z,61.4086,-150.0085,35.6,2,"12km SSW of Big Lake, Alaska"
2013-09-24T14:36:44.430Z,-32.5934,-71.5161,39.67,4.8,"31km WSW of La Ligua, Chile"
2013-09-24T14:19:34.000Z,62.6569,-148.3944,47.4,2.2,"86km SSE of Cantwell, Alaska"
2013-09-24T14:13:30.091Z,38.6527,-119.426,10.4126,2.95,"16km SSW of Smith Valley, Nevada"
2013-09-24T14:08:33.420Z,27.516,65.7151,27.15,5.2,"94km WSW of Khuzdar, Pakistan"
2013-09-24T14:07:44.740Z,28.1185,140.4439,91.59,5.1,"209km NW of Chichi-shima, Japan"
2013-09-24T13:44:17.420Z,32.5186,141.2222,41.08,4.8,"147km ESE of Hachijo-jima, Japan"
2013-09-24T13:01:40.910Z,27.3435,65.6424,27.7,5.6,"106km NNE of Awaran, Pakistan"
2013-09-24T12:42:12.660Z,27.3102,65.5944,25.67,5,"101km NNE of Awaran, Pakistan"
2013-09-24T12:13:17.000Z,60.776,-151.5422,51.8,2.8,"16km NW of Nikiski, Alaska"
2013-09-24T12:07:06.320Z,27.2968,65.6465,10.13,4.7,"101km NNE of Awaran, Pakistan"
2013-09-24T11:36:31.310Z,27.2947,65.6632,24.5,5.9,"102km NNE of Awaran, Pakistan"
2013-09-24T11:31:45.000Z,63.1379,-150.7876,100,2.1,"96km WSW of Cantwell, Alaska"
2013-09-24T11:29:48.950Z,26.9997,65.5143,20,7.7,"66km NNE of Awaran, Pakistan"
2013-09-24T11:25:21.000Z,60.2662,-151.8621,98.8,3,"32km WSW of Cohoe, Alaska"
2013-09-24T11:20:54.500Z,33.3022,-115.6657,7.4,2.1,"15km WNW of Niland, California"
2013-09-24T11:15:14.100Z,35.6607,-118.4665,10,2.6,"4km N of Lake Isabella, California"
2013-09-24T10:56:17.000Z,19.6518,-156.1392,8,2.1,"15km W of Kailua-Kona, Hawaii"
2013-09-24T10:38:09.100Z,38.8002,-122.8098,2.6,2.3,"5km WNW of The Geysers, California"
2013-09-24T10:32:27.400Z,44.7488,-110.7735,7.9,2.4,"27km ENE of West Yellowstone, Montana"
2013-09-24T10:24:24.000Z,44.734,-110.7765,5.3,3.2,"27km ENE of West Yellowstone, Montana"
2013-09-24T08:16:49.500Z,40.4727,-124.3663,23.4,2.4,"14km SW of Ferndale, California"
2013-09-24T07:54:01.000Z,38.8378,-122.8302,2.4,2,"9km W of Cobb, California"
2013-09-24T07:22:53.010Z,7.4632,59.5695,10,5.6,Carlsberg Ridge
2013-09-24T06:01:24.900Z,36.4655,-121.046,7.6,2.4,"23km NE of Greenfield, California"
2013-09-24T05:39:56.000Z,61.6053,-146.5284,23,2.1,"53km N of Valdez, Alaska"
2013-09-24T04:46:23.000Z,53.5181,-165.0839,5,2.3,"82km SSE of Akutan, Alaska"
2013-09-24T04:32:16.000Z,18.2068,-67.8046,61,2.8,"60km WSW of Rincon, Puerto Rico"
2013-09-24T03:57:19.000Z,63.0225,-150.3177,99.9,3,"78km N of Talkeetna, Alaska"
2013-09-24T03:57:19.000Z,63.0319,-150.4364,102.5,3,"80km NNW of Talkeetna, Alaska"
2013-09-24T03:52:33.000Z,52.5864,-174.2434,202.4,2.3,"43km N of Atka, Alaska"
2013-09-24T03:46:32.000Z,61.31,-146.8378,14.9,2.2,"33km NW of Valdez, Alaska"
2013-09-24T03:41:54.230Z,8.3754,-82.7956,25.02,4.6,"2km S of La Esperanza, Panama"
2013-09-24T03:40:18.000Z,53.5442,-164.7298,35.9,2.9,"95km SE of Akutan, Alaska"
2013-09-24T02:56:14.600Z,40.5512,-124.9545,0.2,2.9,"58km W of Ferndale, California"
2013-09-24T02:30:52.600Z,38.8052,-122.8103,2.1,2,"5km WNW of The Geysers, California"
2013-09-24T02:11:01.000Z,62.0419,-151.7681,82.5,2,"91km WSW of Talkeetna, Alaska"
2013-09-24T01:58:50.320Z,40.8091,-108.2051,2.09,2.6,"64km WNW of Craig, Colorado"
2013-09-24T00:39:27.000Z,39.4305,-123.4077,0,2,"2km SW of Brooktrails, California"
2013-09-23T23:59:43.000Z,63.1526,-149.6854,92.5,2.5,"45km SW of Cantwell, Alaska"
2013-09-23T22:23:12.700Z,18.8738,-68.8164,8,3.6,"19km N of Otra Banda, Dominican Republic"
2013-09-23T20:10:50.700Z,18.3045,-65.9534,6,2.8,"3km NNE of Celada, Puerto Rico"
2013-09-23T20:01:53.700Z,18.6615,-66.8013,72,3.2,"19km N of Hatillo, Puerto Rico"
2013-09-23T19:52:18.000Z,19.1333,-64.7163,77,2.7,"80km N of Road Town, British Virgin Islands"
2013-09-23T17:56:31.000Z,52.5553,-168.9394,2.1,2.4,"42km S of Nikolski, Alaska"
2013-09-23T17:56:18.700Z,33.0552,-115.5532,11.2,2.1,"6km ENE of Westmorland, California"
2013-09-23T17:28:08.640Z,-5.0215,153.6026,79.29,5.4,"88km SE of Taron, Papua New Guinea"
2013-09-23T17:27:31.400Z,19.3305,-155.1682,2.4,2.1,"13km SSE of Volcano, Hawaii"
2013-09-23T17:22:31.000Z,63.1736,-150.7333,100,2.1,"92km WSW of Cantwell, Alaska"
2013-09-23T17:05:03.000Z,52.2237,-174.5354,227.3,2.3,"23km W of Atka, Alaska"
2013-09-23T16:56:34.400Z,35.8712,-116.749,1.4,2.8,"60km E of Searles Valley, California"
2013-09-23T16:40:29.340Z,28.3674,138.6947,531.31,4.8,"Bonin Islands, Japan region"
2013-09-23T15:59:09.000Z,62.5979,-149.3833,50.3,2.1,"48km NE of Talkeetna, Alaska"
2013-09-23T15:12:55.300Z,-9.8186,115.9548,40.78,5.2,"108km SSW of Kute, Indonesia"
