time          fish          bears          plants          berries
0              20              7               4                2
1              20              7               4                2
2              20              7               4                2
3              20              7               4                2
4              20              7               4                2
5              20              7               4                2
6              20              7               4                2
7              20              7               4                2
8              20              7               4                2
9              19              7               4                2
10              19              7               4                2
11              19              7               4                2
12              19              7               4                2
13              19              7               4                2
14              19              7               4                2
15              19              7               4                2
16              18              7               4                2
17              18              7               4                2
18              18              7               4                2
19              18              7               4                2
20              18              7               4                2
21              18              7               4                2
22              18              7               4                2
23              18              7               4                2
24              18              7               4                2
25              18              7               4                2
26              18              7               4                2
27              18              7               4                2
28              18              7               4                2
29              18              7               4                2
30              18              7               4                2
31              18              7               4                2
32              18              7               4                2
33              18              7               4                2
34              18              7               4                2
35              18              7               4                2
36              18              7               4                2
37              18              7               4                2
38              18              7               4                2
39              18              7               4                2
40              18              7               4                2
41              18              7               4                2
42              18              7               4                2
43              18              7               4                2
44              18              7               4                2
45              18              7               4                2
46              18              7               4                2
47              18              7               4                2
48              18              7               4                2
49              18              7               4                2
50              18              7               4                2
51              18              7               4                2
52              18              7               4                2
53              18              7               4                2
54              18              7               4                2
55              18              7               4                2
56              18              7               4                2
57              18              7               4                2
58              18              7               4                2
59              18              7               4                2
60              18              7               4                2
61              18              7               4                2
62              18              7               4                2
63              18              7               4                2
64              18              7               4                2
65              18              7               4                2
66              18              7               4                2
67              18              7               4                2
68              18              7               4                2
69              18              7               4                2
70              18              7               4                2
71              18              7               4                2
72              18              7               4                2
73              18              7               4                2
74              18              7               4                2
75              18              7               4                2
76              18              7               4                2
77              18              7               4                2
78              18              7               4                2
79              18              7               4                2
80              18              7               4                2
81              18              7               4                2
82              18              7               4                2
83              18              7               4                2
84              18              7               4                2
85              18              7               4                2
86              18              7               4                2
87              18              7               4                2
88              18              7               4                2
89              18              7               4                2
90              18              7               4                2
91              18              7               4                2
92              18              7               4                2
93              18              7               4                2
94              18              7               4                2
95              18              7               4                2
96              17              7               4                2
97              17              7               4                2
98              17              7               4                2
99              17              7               4                2
100              17              7               4                2
101              17              7               4                2
102              17              7               4                2
103              17              7               4                2
104              17              7               4                2
105              17              7               4                2
106              17              7               4                2
107              17              7               4                2
108              17              7               4                2
